date,close
2026-06-03,1313.199951171875
2026-06-04,1303.699951171875
2026-06-05,1291.0
2026-06-08,1263.300048828125
2026-06-09,1269.199951171875
2026-06-10,1258.800048828125
2026-06-11,1263.0
2026-06-12,1293.0
2026-06-15,1307.0
2026-06-16,1328.800048828125
2026-06-17,1332.699951171875
2026-06-18,1328.0999755859375
2026-06-19,1309.5
2026-06-22,1326.5
2026-06-23,1309.5
2026-06-24,1313.5999755859375
2026-06-25,1318.0999755859375
2026-06-26,1318.0999755859375
2026-06-29,1301.0
2026-06-30,1293.9000244140625
2026-07-01,1308.0
2026-07-02,1303.5
2026-07-03,1304.0
2026-07-06,1321.300048828125
2026-07-07,1308.4000244140625
2026-07-08,1275.9000244140625
2026-07-09,1279.800048828125
2026-07-10,1307.800048828125
2026-07-13,1296.9000244140625
2026-07-14,1293.0
2026-07-15,1295.5
2026-07-16,1296.5999755859375
2026-07-17,1327.199951171875
2026-07-20,1323.0999755859375
2026-07-21,1303.699951171875
2026-07-22,1288.5999755859375
2026-07-23,1272.199951171875
2026-07-24,1278.0
2026-07-27,1280.0
2026-07-28,1267.699951171875
2026-07-29,1275.9000244140625
2026-07-30,1292.9000244140625
2026-07-31,1307.800048828125
2026-08-03,1319.0
2026-08-04,1290.9000244140625
2026-08-05,1280.0
2026-08-06,1325.0
2026-08-07,1334.800048828125
2026-08-10,1327.300048828125
2026-08-11,1323.9000244140625
2026-08-12,1329.0
2026-08-13,1317.0
2026-08-14,1310.0
2026-08-17,1316.0
2026-08-18,1322.0
2026-08-19,1311.0
2026-08-20,1313.199951171875
2026-08-21,1316.0
2026-08-24,1309.800048828125
2026-08-25,1317.0
2026-08-26,1298.0
2026-08-27,1282.199951171875
2026-08-28,1287.0
2026-08-31,1277.0
2026-09-01,1309.0
2026-09-02,1313.0999755859375
