trade_date,prediction_time,predicted,actual_eod,change_from_prediction_pct,matched
2026-09-02,2026-09-02T23:01:16.189277+05:30,BULLISH,NEUTRAL,0.0,False
2026-09-03,2026-09-03T22:58:50.372923+05:30,BULLISH,NEUTRAL,0.0,False
2026-09-04,2026-09-04T22:31:41.901542+05:30,BULLISH,NEUTRAL,0.0,False
2026-09-05,2026-09-05T18:28:34.811580+05:30,BULLISH,NEUTRAL,0.0,False
